sku,name,type,category,subcat,active
P7068800CR,The Cedar Reserve - Lemon & Lime - PG - 00mg,Product,Labelled,Freebase,1
P7068803CR,The Cedar Reserve - Lemon & Lime - PG - 03mg,Product,Labelled,Freebase,1
P7068806CR,The Cedar Reserve - Lemon & Lime - PG - 06mg,Product,Labelled,Freebase,1
P7068812CR,The Cedar Reserve - Lemon & Lime - PG - 12mg,Product,Labelled,Freebase,1
P7068818CR,The Cedar Reserve - Lemon & Lime - PG - 18mg,Product,Labelled,Freebase,1
P7031900CR,The Cedar Reserve - Mango Ice Tea - PG - 00mg,Product,Labelled,Freebase,1
P7031903CR,The Cedar Reserve - Mango Ice Tea - PG - 03mg,Product,Labelled,Freebase,1
P7031906CR,The Cedar Reserve - Mango Ice Tea - PG - 06mg,Product,Labelled,Freebase,1
P7031912CR,The Cedar Reserve - Mango Ice Tea - PG - 12mg,Product,Labelled,Freebase,1
P7031918CR,The Cedar Reserve - Mango Ice Tea - PG - 18mg,Product,Labelled,Freebase,1
P7030800CR,The Cedar Reserve - Mental Menthol - PG - 00mg,Product,Labelled,Freebase,1
P7030803CR,The Cedar Reserve - Mental Menthol - PG - 03mg,Product,Labelled,Freebase,1
P7030806CR,The Cedar Reserve - Mental Menthol - PG - 06mg,Product,Labelled,Freebase,1
P7030812CR,The Cedar Reserve - Mental Menthol - PG - 12mg,Product,Labelled,Freebase,1
P7030818CR,The Cedar Reserve - Mental Menthol - PG - 18mg,Product,Labelled,Freebase,1
P7030700CR,The Cedar Reserve - Menthol - PG - 00mg,Product,Labelled,Freebase,1
P7030703CR,The Cedar Reserve - Menthol - PG - 03mg,Product,Labelled,Freebase,1
P7030706CR,The Cedar Reserve - Menthol - PG - 06mg,Product,Labelled,Freebase,1
P7030712CR,The Cedar Reserve - Menthol - PG - 12mg,Product,Labelled,Freebase,1
P7030718CR,The Cedar Reserve - Menthol - PG - 18mg,Product,Labelled,Freebase,1
P7030900CR,The Cedar Reserve - Menthol Mint - PG - 00mg,Product,Labelled,Freebase,1
P7030903CR,The Cedar Reserve - Menthol Mint - PG - 03mg,Product,Labelled,Freebase,1
P7030906CR,The Cedar Reserve - Menthol Mint - PG - 06mg,Product,Labelled,Freebase,1
P7030912CR,The Cedar Reserve - Menthol Mint - PG - 12mg,Product,Labelled,Freebase,1
P7030918CR,The Cedar Reserve - Menthol Mint - PG - 18mg,Product,Labelled,Freebase,1
P7069100CR,The Cedar Reserve - Menthol Tobacco - PG - 00mg,Product,Labelled,Freebase,1
P7069103CR,The Cedar Reserve - Menthol Tobacco - PG - 03mg,Product,Labelled,Freebase,1
P7069106CR,The Cedar Reserve - Menthol Tobacco - PG - 06mg,Product,Labelled,Freebase,1
P7069112CR,The Cedar Reserve - Menthol Tobacco - PG - 12mg,Product,Labelled,Freebase,1
P7069118CR,The Cedar Reserve - Menthol Tobacco - PG - 18mg,Product,Labelled,Freebase,1
P7065900CR,The Cedar Reserve - Parma Violet - PG - 00mg,Product,Labelled,Freebase,1
P7065903CR,The Cedar Reserve - Parma Violet - PG - 03mg,Product,Labelled,Freebase,1
P7065906CR,The Cedar Reserve - Parma Violet - PG - 06mg,Product,Labelled,Freebase,1
P7065912CR,The Cedar Reserve - Parma Violet - PG - 12mg,Product,Labelled,Freebase,1
P7065918CR,The Cedar Reserve - Parma Violet - PG - 18mg,Product,Labelled,Freebase,1
P7031400CR,The Cedar Reserve - Peach - PG - 00mg,Product,Labelled,Freebase,1
P7031403CR,The Cedar Reserve - Peach - PG - 03mg,Product,Labelled,Freebase,1
P7031406CR,The Cedar Reserve - Peach - PG - 06mg,Product,Labelled,Freebase,1
P7031412CR,The Cedar Reserve - Peach - PG - 12mg,Product,Labelled,Freebase,1
P7031418CR,The Cedar Reserve - Peach - PG - 18mg,Product,Labelled,Freebase,1
